State/UT,Year,Rural,Urban,Total Population,Tot_Male,Tot_Female,Male_Literacy,Female_Litracy,Polulation_Literacy,Litracy_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
JHARKHAND,2009,24548707,7163071,31711778,16268530,15423230,10147541,6632983,16780524,64.2,79714,1636,1274,104,719,0,719,827,517,310,412,53,780,1392,7716,2990,4726,2312,473,910,15,203,4132,295,276,83,710,6,1678,11430,37436,84134,631,3141,182,60,118.050776
KARNATAKA,2009,39302233,20233524,59535757,30063420,29234330,21518466,16951042,38469508,66.3,191791,1702,1607,79,509,0,509,892,408,484,273,346,1825,6629,20576,11093,9483,6269,461,5079,171,293,20105,264,2186,64,3185,2,417,61108,134042,290061,2174,2715,272,308,225.1453694
KERALA,2009,24412031,8603444,33015475,15907075,17175351,13485545,14118060,27603605,93.71,38863,343,408,100,568,0,568,256,173,83,112,266,830,3554,5564,2029,3535,8086,354,3394,66,503,18274,20,2540,395,4007,0,41,68688,118369,243126,467,8031,102,587,358.5258125
LAKSHADWEEP,2009,35330,28283,63613,32706,30963,27389,23631,50727,92.69,32,0,1,0,1,0,1,0,0,0,3,0,0,1,10,5,5,44,0,0,0,2,14,0,0,0,0,0,0,58,134,279,0,11074,0,0,210.6487668
MADHYA PRADESH,2009,51592829,18561822,70154651,36267294,33866074,23968752,16313736,40282488,85.16,308245,2386,2212,117,2998,1,2997,1036,841,195,117,156,2270,10661,23260,10705,12555,2409,575,1830,27,741,37132,858,6307,728,3983,1,6591,101367,207762,442818,3040,0,1135,4646,296.1485761
MAHARASHTRA,2009,62833102,46299945,109133047,56552531,52481081,43568107,34189736,77757843,81.21,307713,2653,1880,98,1483,0,1483,1286,926,360,780,287,3314,15841,50930,18133,32797,8030,1895,7976,478,1105,28326,341,3196,1099,7681,0,12459,48460,199598,452895,1096,16509,224,2894,182.8941879
MANIPUR,2009,1820487,659118,2479605,1355900,1335968,1007608,792204,1799812,76.06,22327,131,478,2,31,0,31,159,97,62,1,188,3,68,394,283,111,48,20,96,1,81,224,0,39,2,25,0,0,861,2852,6288,0,15293,0,72,115.0183195
MEGHALAYA,2009,2271965,553285,2825250,1421798,1392307,847158,797045,1644203,71.54,22429,128,39,12,112,0,112,56,26,30,64,1,67,147,545,180,365,18,26,113,9,54,207,0,72,1,24,1,72,680,2448,5609,0,247,0,83,86.64719936
MIZORAM,2009,528519,520771,1049290,533710,517124,419951,382305,802256,90.84,21081,31,14,8,83,1,82,9,0,9,2,0,4,381,761,77,684,1,30,61,9,24,120,0,61,1,4,0,36,407,2047,4947,0,267,0,14,195.0842951
NAGALAND,2009,1634113,340050,1974163,1028025,950459,695949,577031,1272980,75.42,1483,46,35,7,22,0,22,52,10,42,8,0,92,82,347,69,278,4,6,33,3,4,38,0,11,0,0,0,34,235,1059,2539,0,43,0,0,53.64298693
ODISHA,2009,34693275,6117825,40811100,20675564,20198780,14384959,10736039,25120998,71.2,155707,1250,1231,48,1023,0,1023,930,799,131,380,63,1488,2937,7136,2521,4615,1718,258,1137,34,413,6816,384,2697,210,2047,1,2979,20560,55740,120569,1709,39,552,194,136.5804891
PUDUCHERRY,2009,396862,790274,1187136,584112,602219,456407,421468,877875,84.84,479,37,25,5,1,0,1,18,13,5,7,5,9,71,711,502,209,141,7,47,5,11,901,0,53,16,10,0,233,2278,4591,9912,29,7534,0,21,386.729069
PUNJAB,2009,17848700,9161938,27010638,14285236,12712033,9969336,7814739,17784075,74.49,50362,853,1014,129,511,0,511,692,513,179,38,96,171,2507,5624,2713,2911,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,35545,77917,108,93,0,729,131.5962992
RAJASTHAN,2009,50724426,15482742,66207168,34200798,31662342,22334296,13315310,35649606,65.01,342239,1395,1673,80,1519,0,1519,2870,2310,560,53,57,886,5294,22144,12156,9988,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,166565,359663,639183,2793,1183,1407,251.5815206
SIKKIM,2009,529138,65860,594998,314866,279835,222876,168104,390980,78.11,7096,19,7,3,18,0,18,6,6,0,0,0,4,93,62,8,54,39,4,12,2,9,91,0,10,0,6,0,59,225,669,1424,16,18017,14,40,112.4373527
TAMIL NADU,2009,39339010,30960515,70299525,35095047,34981734,26935479,22266974,49202453,78.87,130058,1776,2325,26,596,0,596,1372,1133,239,97,34,1144,4221,15712,4973,10739,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,174691,367062,1312,39,22,634,248.4952779
TRIPURA,2009,2965613,609950,3575563,1831079,1747020,1424056,1201760,2625816,78.59,10486,133,59,2,190,0,190,121,92,29,7,0,77,231,415,39,376,178,52,110,20,62,1047,29,384,5,815,0,225,1324,5486,11698,7,5928,27,163,153.4303829
UTTAR PRADESH,2009,153052996,40152307,193205303,100207445,92130564,63897770,41470148,105367918,64.86,240928,4534,4141,1439,1759,0,1759,6083,5078,1005,365,59,2285,5260,29226,16109,13117,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,172884,382836,7522,1676,4,3085,89.48201593
UTTARAKHAND,2009,7278305,2513353,9791658,4950466,4769193,3666017,2804199,6470216,76.9,53483,195,185,51,111,0,111,275,247,28,35,7,179,363,1601,735,866,466,156,544,43,17,1198,94,119,249,361,0,685,1868,8802,19591,58,20030,0,33,89.89284552
WEST BENGAL,2009,64035323,24868612,88903935,45617978,43264247,32418029,25798760,58216789,74.88,88752,2068,2119,931,2336,0,2336,2750,2187,563,214,724,751,329,17133,3709,13424,6700,918,3298,153,344,11196,506,1942,108,16112,5,3623,38776,113036,248291,21,1069,16,484,127.1439785
A& N ISLANDS,2010,255310,123612,378922,201828,176249,162018,127039,289427,84.9,8249,9,7,4,24,0,24,10,8,2,1,0,7,80,121,22,99,11,10,56,0,12,80,0,31,10,9,0,9,489,980,2115,0,28919,1,51,258.6284248
ANDHRA PRADESH,2010,61133392,22962029,84095425,42024350,41878664,28246882,22473539,49003486,65.8,275045,2538,1953,155,1362,0,1362,2053,1531,522,134,2,550,8200,26756,7422,19334,2231,1130,9164,186,925,46777,588,4634,4562,12080,0,14085,41373,181438,393047,4321,47,807,1823,215.7525216
ARUNACHAL PRADESH,2010,1057452,279631,1337083,699218,652641,423679,309254,732933,63.3,83743,75,34,3,47,0,47,67,46,21,15,0,69,211,445,139,306,31,59,91,0,28,439,0,84,1,12,0,106,622,2439,5437,0,25167,54,20,182.4120118
ASSAM,2010,26781573,3912730,30748972,15752521,15014886,10316701,8293145,18609846,70.4,78438,1223,431,46,1721,5,1716,3250,2767,483,248,12,662,3458,7860,2124,5736,2183,992,1371,68,437,5744,175,1400,20,5410,0,2847,22110,61668,136167,7,200,3,197,200.5530461
BIHAR,2010,91194186,10653452,101847638,53533221,48783090,30416286,19565930,49982216,59.8,94163,3362,2915,344,795,0,795,3674,2569,1105,644,46,1538,3437,15544,4257,11287,8809,1071,3025,52,660,15328,1257,534,16,2271,8,5615,56508,127453,274919,3516,13470,1843,1843,125.1408501
CHANDIGARH,2010,106262,932673,1038935,574505,470499,453321,334069,787390,84.5,114,21,30,9,31,0,31,38,28,10,5,6,67,236,1481,898,583,65,23,163,3,9,65,5,29,4,41,0,6,1036,3373,8296,0,9836,0,59,324.6593868
CHHATTISGARH,2010,20072206,5046664,25118870,12628538,12490327,8604994,6295716,14900710,68.49,135191,1065,756,30,1012,0,1012,359,279,80,122,15,552,3711,5805,2139,3666,1092,196,813,59,319,10188,115,1706,182,861,2,2907,23091,54958,117092,271,241,386,1463,218.7916893
D & N HAVELI,2010,252672,74986,327658,187126,143104,134886,73652,208538,74.5,491,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378,840,0,4208,2,13,115.3641907
DAMAN & DIU,2010,142327,84489,226816,143510,89527,117913,59774,177687,86.19,112,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378,840,0,14,0,2,166.6549097
DELHI,2010,1119108,15288037,16407145,8830025,7634211,6995517,5355611,12351128,85.76,16579,565,311,71,507,0,507,3208,1740,1468,32,31,599,1502,23088,14966,8122,53,273,1845,33,52,1925,143,601,80,1404,0,914,14055,51292,129387,16,8,0,3630,312.6198982
GOA,2010,727426,710023,1437449,732427,713327,607721,535956,1143677,85.74,3702,35,27,3,36,0,36,25,18,7,2,0,39,368,1034,359,675,64,57,117,33,23,177,1,36,16,17,0,256,927,3293,7681,1,5920,0,79,229.0863885
GUJARAT,2010,37268966,22227276,59496242,30708253,28264055,23268372,16924707,40193079,86.3,196024,1048,462,44,408,0,408,1447,1290,157,186,18,1384,4071,16794,9817,6977,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,116439,251527,195,160,155,1006,195.7081592
HARYANA,2010,17646849,7180385,24827224,13225675,11688730,9507086,6566399,16073485,76.92,44212,1005,836,63,720,0,720,963,714,249,147,248,734,4445,16266,11299,4967,1414,919,1662,29,221,3733,284,476,580,2720,0,1595,20060,59120,136189,107,9517,0,303,238.1256962
HIMACHAL PRADESH,2010,6103634,663075,6766709,3447080,3346617,2648623,2221445,4870068,75.58,55673,132,74,12,160,0,160,194,162,32,2,0,11,743,838,334,504,615,110,318,4,127,1374,2,350,78,275,0,610,7020,13049,27290,5,5922,2,246,192.8411581
JAMMU & KASHMIR,2010,9277161,3061106,12338267,6520750,5817515,4099330,2709634,6808964,78.95,222236,217,711,26,245,0,245,896,840,56,6,0,61,1406,2510,967,1543,2169,150,422,19,224,278,9,1038,262,211,0,494,11869,23223,50097,1,906,0,17,188.2193018
JHARKHAND,2010,25039681,7306332,32346013,16593900,15747117,10512852,7037594,17550446,65.67,79714,1689,1028,82,773,0,773,978,696,282,335,19,709,1357,7090,2709,4381,2447,505,988,16,185,4271,276,245,16,650,8,1745,13477,38889,86619,577,3322,234,54,120.2281097
KARNATAKA,2010,39891766,20537026,60428792,30484307,29672844,22056427,17561279,39617706,66.33,191791,1805,1850,94,586,0,586,1374,586,788,272,300,1949,6059,20093,10840,9253,7710,464,5543,192,286,21835,248,2544,83,3441,0,471,65123,142322,306697,2505,3458,294,409,235.5201805
KERALA,2010,24534091,8646461,33180552,15962749,17278403,13579943,14301594,27881537,94.08,38863,363,361,86,634,0,634,261,184,77,74,221,636,2682,4380,1486,2894,8724,343,3581,54,374,18532,22,2936,537,4797,0,47,98668,148313,301901,583,8703,88,596,446.9877415
LAKSHADWEEP,2010,35541,28452,63993,32908,31148,27772,24103,51538,93.47,32,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,3,0,0,0,2,1,0,0,0,0,0,0,26,42,89,0,10714,0,0,65.63217852
MADHYA PRADESH,2010,52573092,18914496,71487588,36920105,34543395,24567970,16966285,41534255,88.31,308245,2423,2277,123,3135,0,3135,1187,1030,157,110,110,1919,9897,21577,11353,10224,2606,507,1779,33,748,39193,892,6646,918,3756,5,7038,107390,214269,454437,3374,2,1384,4912,299.7289543
MAHARASHTRA,2010,63775598,46994444,110770042,57372542,53284041,44439469,35249617,79689086,81.77,307713,2744,1926,152,1599,0,1599,1508,1124,384,778,285,3721,16617,52565,18676,33889,8412,1948,8684,389,1229,29696,393,3661,1180,7434,0,13508,49739,208168,472008,1132,16718,292,3264,187.9280681
MANIPUR,2010,1851435,670323,2521758,1392509,1373375,1044889,827853,1872742,76.79,22327,92,258,1,34,0,34,199,107,92,0,196,2,66,417,254,163,65,24,59,7,86,227,0,31,0,18,0,1,932,2715,6080,0,15952,0,73,107.6629875
MEGHALAYA,2010,2328764,567117,2895881,1455921,1427114,881891,836100,1717991,72.75,22429,134,60,8,149,0,149,71,37,34,42,1,67,166,664,152,512,7,37,98,4,52,154,0,48,0,24,0,53,666,2505,5894,0,289,0,110,86.50217326
MIZORAM,2010,539617,531707,1071324,543850,529529,429609,392244,821853,91.1,21081,48,27,7,92,0,92,9,0,9,3,0,16,425,823,69,754,0,25,79,12,15,116,0,75,0,3,0,44,355,2174,5272,0,248,0,50,202.9264723
NAGALAND,2010,1632478,339709,1972187,1025660,951409,704300,590302,1294602,76.77,1483,45,35,13,16,0,16,50,6,44,3,0,63,62,397,80,317,2,13,39,3,1,36,0,13,3,1,0,22,242,1059,2581,0,39,0,10,53.69673363
ODISHA,2010,35144287,6197356,41341643,20942278,20471463,14715813,11165480,25881293,72.3,155707,1308,1436,31,1025,0,1025,1016,912,104,346,117,1491,2855,7572,2627,4945,1779,322,1108,29,430,7181,388,2905,232,2067,5,3450,19366,56459,122531,1710,36,556,194,136.5668994
PUDUCHERRY,2010,406783,810030,1216813,597546,618358,468729,436640,905369,85.3,479,33,19,16,3,0,3,17,14,3,2,10,5,72,534,384,150,131,12,77,3,10,806,1,46,22,7,0,242,1867,3935,8424,31,,0,16,323.3857626
PUNJAB,2010,18080733,9281043,27361776,14456658,12890001,10178692,8025736,18204428,75.12,50362,907,994,120,546,0,546,789,576,213,65,143,241,2661,5446,2467,2979,0,243,3527,75,101,4873,121,349,38,1163,0,3350,10896,36648,80077,115,,0,627,133.9386742
RAJASTHAN,2010,51738914,15792396,67531310,34850613,32286090,22937321,13861237,36798558,65.61,342239,1421,1557,104,1571,0,1571,2985,2477,508,37,84,872,4714,22324,13245,9079,986,789,16584,36,478,19247,462,2339,23,11145,0,7978,67221,162957,352794,624166,,1319,1318,241.3058476
SIKKIM,2010,535487,66650,602137,318329,283472,236694,180207,416901,79.65,7096,17,6,2,18,0,18,6,6,0,1,0,7,72,53,8,45,4,1,20,3,7,73,1,11,0,3,0,47,200,552,1181,3,,1,29,91.67348959
TAMIL NADU,2010,39929095,31424922,71354017,35586377,35513456,27501124,22912716,50413840,79.57,130058,1875,2641,32,686,0,686,1720,1464,256,85,12,1817,4715,14583,5045,9538,2664,177,3259,312,636,21309,165,1405,638,1570,0,14644,110733,185678,388345,1631,,33,810,260.2208086
TRIPURA,2010,3007131,618489,3625620,1856164,1772351,1462505,1251032,2713537,79.29,10486,150,63,8,238,0,238,114,91,23,16,2,65,221,457,64,393,163,53,122,6,51,1136,25,376,9,937,0,237,1356,5805,12419,11,,35,227,160.1105466
UTTAR PRADESH,2010,155961002,40915200,196876202,101910971,93973175,66070294,43792476,109862770,66.02,240928,4401,4004,1401,1563,1,1562,6321,5468,853,337,48,2577,4915,31153,18216,12937,4186,3817,9553,426,170,10336,2217,2793,11,7978,0,14472,61500,174179,387395,6272,,0,2332,88.47133286
UTTARAKHAND,2010,7409314,2558593,9967907,5034623,4764508,3757667,2907954,6665621,77.59,53483,176,219,60,121,0,121,286,249,37,12,2,162,310,2138,871,1267,458,167,567,33,17,974,75,125,165,334,0,738,2101,9240,21025,35,,0,31,92.69749407
WEST BENGAL,2010,64867782,25191903,90059685,46165393,43869946,33098807,26675917,59774724,75.7,88752,2398,2111,630,2311,0,2311,3345,2764,581,288,687,798,388,19389,4123,15266,6809,1011,3260,214,331,12764,507,2465,163,17796,8,2847,49096,129616,284277,63,,47,880,143.9223333
A& N ISLANDS,2011,256117,124464,380581,202837,177764,164377,129904,294281,86.63,8249,14,6,2,13,0,13,15,12,3,1,0,1,99,88,4,84,11,3,32,0,6,81,0,15,3,5,0,6,392,793,1702,0,48,7,31,208.3656304
ANDHRA PRADESH,2011,61805863,22774914,84580777,42442146,42138631,28251243,22305517,50556760,67.02,275045,2808,2229,171,1442,0,1442,2154,1612,542,126,7,600,8300,28267,8966,19301,2210,1174,9748,224,1021,54452,599,4849,3658,13376,0,13973,38392,189780,411423,4016,25536,805,2213,224.3772246
ARUNACHAL PRADESH,2011,1081773,300838,1382611,713912,669815,439868,326137,766005,65.38,83743,65,29,2,42,0,42,93,60,33,13,0,64,183,414,152,262,49,54,74,2,34,379,0,51,0,18,0,98,622,2286,5121,0,171,34,35,165.3393471
ASSAM,2011,27210078,3959194,31169272,15939443,15266133,10568639,8609338,19177977,72.19,78438,1303,504,48,1700,0,1700,3764,3192,572,305,4,837,3327,8309,585,7724,2328,920,1495,60,506,6306,121,1193,8,5246,2,2915,25513,66714,147201,0,11462,2,236,214.0377228
BIHAR,2011,92906156,10898481,103804637,54278157,49821295,31608023,20896530,52504553,61.8,94163,3198,3327,348,934,1,933,4268,3050,1218,556,105,1381,3629,16292,5041,11251,9768,1741,3776,64,705,19391,1413,790,11,2607,10,5877,55705,135896,293286,3623,8815,2233,2233,130.9151536
CHANDIGARH,2011,107962,946724,1054686,580663,474787,465346,340092,805438,86.05,114,24,40,6,27,0,27,58,46,12,6,2,68,285,1502,915,587,66,25,255,0,9,45,2,21,12,46,0,7,1036,3542,8671,1,154,0,74,335.8345517
CHHATTISGARH,2011,20493722,5046474,25540196,12832895,12712303,8807893,6572029,15379922,70.28,135191,1110,747,28,1053,0,1053,472,365,107,68,7,470,3548,5315,2292,3023,934,180,980,65,289,11105,104,1654,174,834,2,2856,25223,57218,121276,253,4186,336,1782,224.0311703
D & N HAVELI,2011,264042,78811,342853,193760,149949,142521,80709,223230,76.24,491,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372,826,1,17,2,11,108.5013111
DAMAN & DIU,2011,148589,94322,242911,150301,92946,124643,63763,188406,87.1,112,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372,826,0,5,0,3,153.142509
DELHI,2011,1140371,15612864,16753235,8987326,7800615,7194856,5542911,12737767,86.21,16579,543,386,71,572,0,572,3767,2085,1682,33,25,562,1419,22899,14668,8231,50,337,2590,44,42,1946,142,657,162,1575,0,1168,14363,53353,133944,28,5193,0,4250,318.4638668
GOA,2011,733245,724478,1457723,739140,719405,615823,549664,1165487,86.21,3702,48,22,6,29,0,29,28,17,11,2,0,26,318,1115,463,652,74,45,142,31,24,215,1,29,12,18,0,263,1001,3449,8070,4,106,1,75,236.6018784
GUJARAT,2011,37939807,22443821,60383628,31491260,28948432,23474873,17618485,41093358,88.7,196024,1126,478,43,439,0,439,1614,1442,172,221,24,1368,4509,16043,8934,7109,1615,1339,1399,256,263,10159,30,685,93,6052,0,5827,69788,123371,264838,217,8741,153,1131,204.3120032
HARYANA,2011,17964492,7388589,25353081,13494734,11856728,9794067,6804921,16598988,78.03,44212,1062,851,60,733,0,733,959,733,226,167,176,638,5011,17425,12541,4884,1466,812,1761,18,166,3423,255,474,490,2740,0,1505,20549,60741,140599,89,5425,0,280,239.5803492
HIMACHAL PRADESH,2011,6176877,679632,6856509,3481873,3382729,2752590,2287146,5039736,75.55,55673,130,50,6,168,0,168,212,191,21,1,0,10,995,1042,356,686,530,143,359,4,110,1251,4,331,62,239,0,563,8102,14312,30046,4,995,4,261,208.7359617
JAMMU & KASHMIR,2011,9420476,3128450,12548926,6640662,5900640,4264671,2802562,7067233,82.8,222236,169,494,29,277,0,277,1077,1023,54,14,0,88,1516,2655,930,1725,1405,195,612,39,205,246,11,1194,350,286,0,385,13257,24504,53017,1,3141,0,25,195.2677066
JHARKHAND,2011,25513780,7452458,32966238,16930315,16057819,10882519,7445550,18328069,67.16,79714,1747,718,83,784,0,784,941,660,281,309,40,614,1235,6378,1872,4506,2133,447,907,22,138,4403,282,317,7,659,6,1728,11940,35838,79779,636,2715,309,85,108.7112215
KARNATAKA,2011,40490142,20640562,61130704,30966657,30128640,22508471,18138851,40647322,66.41,191791,1820,1837,85,636,0,636,1395,715,680,214,399,2123,6136,19834,10226,9608,7265,440,5850,105,231,21295,267,2608,81,3712,12,750,60505,137600,297065,2481,8031,285,334,225.0914696
KERALA,2011,24656761,8730916,33387677,16027412,17378649,13704903,14430921,28135824,94,38863,365,521,105,1132,0,1132,299,221,78,71,245,741,3001,4704,1454,3250,10754,340,5155,56,450,21747,15,3756,573,5377,0,65,112665,172137,350409,761,11074,231,1452,515.5704603
LAKSHADWEEP,2011,35754,28675,64429,33123,31350,28023,24530,52553,94,32,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44,92,0,0,0,0,68.29222865
MADHYA PRADESH,2011,53571980,19025585,72597565,37612306,35014503,25174328,17676841,42851169,91.85,308245,2511,2340,139,3406,0,3406,1288,1088,200,118,117,1952,10230,22414,11595,10819,2080,557,1860,12,784,35711,811,6665,762,3732,45,7478,112082,217094,461296,3245,16509,1284,4381,299.0375779
MAHARASHTRA,2011,64732231,47640741,112372972,58243056,54131277,45257584,36296706,81554290,82.34,307713,2818,2105,144,1701,0,1701,1669,1252,417,773,291,4249,16313,53449,19270,34179,8556,1883,9098,351,1255,29769,339,3794,1071,7136,0,13024,45114,204902,466623,1143,15293,321,3362,182.3409992
MANIPUR,2011,1882909,848747,2721756,1438586,1417208,1039858,868618,1908476,76.94,22327,78,245,4,53,0,53,169,116,53,1,154,7,52,719,553,166,70,42,126,12,99,292,1,38,0,39,0,2,1015,3218,7377,0,247,1,87,118.232494
MEGHALAYA,2011,2386983,577024,2964007,1491832,1475057,913879,871126,1785005,74.43,22429,170,51,3,130,0,130,87,37,50,49,0,63,145,696,190,506,8,52,166,13,34,197,1,74,1,21,3,90,701,2755,6423,0,267,0,104,92.94849843
MIZORAM,2011,550948,540066,1091014,555339,541867,438529,409646,848175,91.33,21081,26,24,8,77,0,77,6,0,6,1,0,6,336,734,39,695,0,21,66,2,19,97,0,72,1,9,0,37,279,1821,4459,0,159,0,52,166.9089489
NAGALAND,2011,1630845,349757,1980602,1024649,953853,723957,618477,1342434,79.55,1483,46,43,11,23,0,23,34,3,31,7,0,59,73,360,85,275,1,16,31,5,2,55,0,9,0,1,0,15,292,1083,2583,0,36,0,20,54.68034466
ODISHA,2011,35601162,6346196,41947358,21212136,20762082,15089681,11652914,26742595,72.87,155707,1477,1621,51,1112,0,1112,1139,1008,131,417,84,1583,3031,8724,2986,5738,1556,250,1391,10,423,7894,465,3207,235,2320,0,3778,20509,61277,133529,1455,8347,484,315,146.0807138
PUDUCHERRY,2011,414184,830280,1244464,612511,635442,497378,459931,957309,85.85,479,32,22,12,7,0,7,12,9,3,5,10,11,65,707,511,196,125,9,54,4,10,853,1,35,16,10,0,243,2119,4362,9450,18,78,0,15,350.5123491
PUNJAB,2011,18315782,9388454,27704236,14639465,13103873,10436056,8271081,18707137,75.84,50362,842,997,112,479,0,479,681,517,164,28,143,236,2488,4784,2107,2677,0,281,3571,58,83,4757,143,282,31,1136,0,3576,10175,34883,75710,90,2588,0,622,125.9121529
RAJASTHAN,2011,52512769,16108243,68621012,35550997,32997440,23688412,14586870,38275282,66.11,342239,1461,1566,100,1800,0,1800,3204,2713,491,28,72,727,4510,21099,12566,8533,751,741,17497,56,473,17977,514,2447,9,12218,0,8122,70250,165622,357347,634506,19701,1263,1491,241.3575597
SIKKIM,2011,541912,65776,607688,323070,287507,251269,193683,444952,81.42,7096,14,7,8,16,0,16,10,10,0,0,0,5,60,72,8,64,25,4,31,3,4,75,0,24,0,4,0,57,177,596,1290,9,54,8,29,98.07664459
TAMIL NADU,2011,40242663,31896295,72138958,36137975,36009055,28040491,23797016,51837507,80.33,130058,1877,2962,28,677,0,677,1984,1743,241,101,11,2066,4848,13924,4911,9013,3009,238,3872,275,706,21167,152,1467,464,1812,0,16076,115163,192879,402343,1391,6315,23,925,267.3714805
TRIPURA,2011,3049230,623802,3671032,1874376,1799541,1501369,1303414,2804783,80.09,10486,163,75,0,205,0,205,154,116,38,11,0,50,227,494,59,435,175,54,99,9,58,1340,30,294,9,702,0,14,1640,5803,12459,22,1356,30,102,158.0754404
UTTAR PRADESH,2011,157888889,41692588,199581477,104480510,95331831,68234964,46162591,114397555,67.68,240928,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,195135,437495,7702,22468,35,5500,97.77209936
UTTARAKHAND,2011,7542681,2574071,10116752,5137773,4948519,3863708,3017245,6880953,78.82,53483,178,189,54,129,0,129,314,283,31,13,1,179,342,2093,840,1253,401,115,519,26,17,852,83,116,72,307,0,696,2078,8774,20084,32,990,0,83,86.72743979
WEST BENGAL,2011,65828339,25519397,91347736,46809027,44467088,33818810,27719471,61538281,76.26,88752,2109,2242,486,2363,0,2363,4285,3711,574,236,939,760,455,21446,4642,16804,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,143197,314488,59,28919,41,1450,156.7603164
A& N ISLANDS,2012,256885,125210,382095,203648,178447,166678,132631,299309,88.36,8249,15,3,0,12,0,12,8,7,1,5,0,2,71,71,0,71,8,5,31,1,4,62,2,17,4,5,0,6,351,683,1457,0,47,4,28,178.7513576
ANDHRA PRADESH,2012,62485727,22982165,85467892,42862323,42399890,28255604,22488216,50743820,67.6,275045,2717,2183,158,1341,0,1341,1870,1403,467,131,1,668,8442,27475,8036,19439,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,192522,415730,3057,25167,666,2274,225.2565209
ARUNACHAL PRADESH,2012,1098225,308789,1407014,730210,676804,441052,327767,785545,66.3,83743,73,29,1,46,0,46,82,58,24,20,0,65,215,402,95,307,28,55,85,1,33,438,1,67,2,26,0,94,657,2420,5370,0,200,10,39,171.9954457
ASSAM,2012,27250893,3967112,31209792,15956976,15290558,10589776,8635166,19753316,72.59,78438,1368,670,54,1716,0,1716,3812,3360,452,266,7,907,3825,9394,2720,6674,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,77682,170286,4,13470,0,392,248.9026521
BIHAR,2012,93073387,10920277,103993664,54348718,49920937,31702847,21021909,52724756,62.4,94163,3566,5452,285,927,0,927,4807,3789,1018,540,54,1266,3758,17667,6404,11263,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,146614,316629,4821,9836,2894,2894,140.9835892
CHANDIGARH,2012,108123,948144,1056267,581243,479060,466276,340704,806980,86.9,114,21,44,5,27,0,27,87,66,21,3,9,63,235,1549,894,655,49,34,234,2,9,42,5,45,25,73,0,3,1042,3606,8875,2,241,0,96,341.3909551
CHHATTISGARH,2012,20534709,5084141,25618850,12853427,12733913,8825508,6598317,6598317,71.5,135191,998,593,26,1034,0,1034,450,350,100,64,4,412,3334,5341,2358,2983,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,54598,116021,262,4208,344,1881,213.1165138
D & N HAVELI,2012,265098,79205,344303,194341,150548,143233,81112,224345,78.39,491,7,2,0,3,0,3,13,9,4,2,0,2,22,68,36,32,11,10,4,0,12,25,0,2,0,0,0,23,112,318,720,0,14,4,8,92.36050804
DAMAN & DIU,2012,149183,94425,243608,150902,93224,125266,64145,189411,87.18,112,3,5,0,5,0,5,3,0,3,1,0,3,26,55,42,13,9,6,8,0,11,17,0,0,0,3,0,38,46,239,541,0,8,0,8,98.1084365
